tipo_de_compressao,saida,taxa_pct,tempo_s,mem_pico_B
komm-lz77-100,76798,39.0499628812301,1.3825723090012616,12128035
komm-lz77-400,80774,41.07166464971068,1.416609931999119,13330163
komm-lz77-4k,70887,36.04435947240499,1.3318297809996693,11911924
komm-lz77-8k,71375,36.29249590676579,1.5194167250001556,11913119
komm-lz77-16k,72303,36.76436191309123,1.9486107009997795,11712995
komm-lz77-32k,73721,37.485381306377306,2.902762549000272,12034691
komm-lz77-64k,75565,38.42301160342917,4.702608402000351,12850035
komm-huff,52789,26.84195539645897,1.045107501000075,7108325
komm-fano,52840,26.86788768775487,1.0243737790001433,6987497
komm-shannon,61791,31.419259048335757,1.0190015729999686,8071939
komm-lz78,36336,18.475994833880794,1.0175960470000973,8276740
komm-lzw,37383,19.00836951989668,1.0950874129998738,13861628
